step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0512,2525.6,41.0,1138.9,3.2,65536.0,0,1148.07,2064.11,17.32,2280.0
10,8.491112,,,6.000000e-06,5.8800,2509.6,50.0,1138.9,35.8,65536.0,0,1150.18,2083.85,17.37,2280.0
20,8.052705,,,1.200000e-05,2.4420,2501.8,54.0,1138.9,68.6,65536.0,0,1155.26,2088.86,17.59,2280.0
30,7.941469,,,1.800000e-05,2.0615,2493.8,55.0,1138.9,101.5,65536.0,0,1159.37,2095.97,17.52,2280.0
40,7.811246,,,2.400000e-05,1.7685,2487.5,56.0,1138.9,134.5,65536.0,0,1161.69,2101.95,17.47,2280.0
50,7.548433,,,3.000000e-05,1.7922,2481.2,57.0,1138.9,167.6,65536.0,0,1168.97,2103.08,17.47,2280.0
60,7.325317,,,3.600000e-05,1.6128,2481.0,57.0,1138.9,200.6,65536.0,0,1165.57,2106.33,17.72,2280.0
70,7.202306,,,4.200000e-05,1.5823,2480.3,58.0,1138.9,233.7,65536.0,0,1167.38,2105.90,17.60,2280.0
80,7.054165,,,4.800000e-05,1.4009,2478.4,58.0,1138.9,266.8,65536.0,0,1165.32,2109.59,17.59,2280.0
90,6.894164,,,5.400000e-05,1.3021,2466.1,60.0,1138.9,300.0,65536.0,0,1171.56,2118.91,17.51,2280.0
100,6.762717,,,6.000000e-05,0.9679,2463.4,59.0,1138.9,333.3,65536.0,0,1172.77,2125.40,17.74,2280.0
110,6.469961,,,6.600000e-05,1.3923,2466.7,60.0,1138.9,366.6,65536.0,0,1169.69,2121.42,17.64,2280.0
120,6.445889,,,7.200000e-05,1.0602,2463.7,60.0,1138.9,400.0,65536.0,0,1169.92,2124.87,17.59,2280.0
130,6.371764,,,7.800000e-05,1.1743,2463.9,60.0,1138.9,433.3,65536.0,0,1171.50,2121.92,17.67,2280.0
140,6.341424,,,8.400001e-05,1.2577,2465.8,60.0,1138.9,466.6,65536.0,0,1171.46,2120.83,17.56,2280.0
150,6.308406,,,9.000000e-05,1.0893,2461.9,60.0,1138.9,499.9,65536.0,0,1169.59,2127.22,17.58,2280.0
160,6.192315,,,9.600000e-05,1.0983,2462.7,60.0,1138.9,533.2,65536.0,0,1171.84,2123.48,17.76,2280.0
170,6.145014,,,1.020000e-04,1.1712,2464.1,60.0,1138.9,566.6,65536.0,0,1172.10,2121.89,17.53,2280.0
180,6.001717,,,1.080000e-04,1.0444,2461.4,60.0,1138.9,599.9,65536.0,0,1173.14,2124.84,17.73,2280.0
190,6.019266,,,1.140000e-04,0.9978,2464.5,60.0,1138.9,633.2,65536.0,0,1173.33,2123.46,17.69,2280.0
200,5.917541,,,1.200000e-04,1.3738,2422.0,60.0,1138.9,666.6,65536.0,0,1192.63,2159.41,17.63,2280.0
210,5.961943,,,1.260000e-04,1.2560,2449.9,61.0,1138.9,700.3,65536.0,0,1178.44,2134.68,17.63,2280.0
220,5.880764,,,1.320000e-04,1.2140,2450.8,62.0,1138.9,734.0,65536.0,0,1177.27,2134.53,17.57,2280.0
230,5.843375,,,1.380000e-04,1.1331,2445.0,62.0,1138.9,767.6,65536.0,0,1179.38,2140.00,17.70,2280.0
240,5.809703,,,1.440000e-04,1.1033,2453.6,61.0,1138.9,801.1,65536.0,0,1174.98,2133.02,17.73,2280.0
250,5.796237,,,1.500000e-04,1.1822,2453.3,62.0,1138.9,834.5,65536.0,0,1178.86,2129.11,17.58,2280.0
260,5.674931,,,1.560000e-04,0.9593,2457.1,61.0,1138.9,868.0,65536.0,0,1175.60,2130.59,17.66,2280.0
270,5.730697,,,1.620000e-04,1.0072,2453.4,61.0,1138.9,901.4,65536.0,0,1181.54,2127.13,17.71,2280.0
280,5.779071,,,1.680000e-04,0.9026,2457.1,61.0,1138.9,934.8,65536.0,0,1173.82,2128.52,17.69,2280.0
290,5.707999,,,1.740000e-04,1.0690,2457.4,61.0,1138.9,968.3,65536.0,0,1176.62,2126.08,17.61,2280.0
300,5.686121,,,1.800000e-04,1.0275,2454.5,61.0,1138.9,1001.7,65536.0,0,1173.74,2131.57,17.64,2280.0
310,5.648809,,,1.860000e-04,0.8957,2459.7,61.0,1138.9,1035.1,65536.0,0,1174.92,2127.41,17.71,2280.0
320,5.659094,,,1.920000e-04,0.9015,2294.3,62.0,1138.9,1069.2,65536.0,0,1255.43,2282.88,20.31,2280.0
330,5.638555,,,1.980000e-04,0.9682,2379.7,63.0,1138.9,1104.1,65536.0,0,1217.99,2195.80,18.77,2280.0
340,5.618906,,,2.040000e-04,0.7667,2447.2,63.0,1138.9,1138.1,65536.0,0,1182.16,2137.80,17.78,2280.0
350,5.542955,,,2.100000e-04,0.6763,2433.4,62.0,1138.9,1171.8,65536.0,0,1184.28,2153.84,18.05,2280.0
360,5.531407,,,2.160000e-04,0.8690,2441.9,63.0,1138.9,1205.5,65536.0,0,1179.43,2146.44,17.59,2280.0
370,5.552015,,,2.220000e-04,0.9672,2380.5,63.0,1138.9,1239.4,65536.0,0,1208.40,2204.68,17.74,2280.0
380,5.474088,,,2.280000e-04,1.4356,2450.3,63.0,1138.9,1273.3,65536.0,0,1184.80,2127.95,17.73,2280.0
390,5.429851,,,2.340000e-04,0.8342,2441.0,62.0,1138.9,1306.9,65536.0,0,1190.40,2137.82,17.67,2280.0
400,5.382841,,,2.400000e-04,0.7610,2442.6,62.0,1138.9,1340.6,65536.0,0,1178.24,2147.76,17.66,2280.0
410,5.430527,,,2.460000e-04,0.6906,2444.8,62.0,1138.9,1374.2,65536.0,0,1182.99,2139.47,17.64,2280.0
420,5.492115,,,2.520000e-04,0.7551,2436.9,62.0,1138.9,1407.8,65536.0,0,1183.24,2150.30,17.73,2280.0
430,5.376147,,,2.580000e-04,0.7672,2437.0,62.0,1138.9,1441.5,65536.0,0,1186.59,2146.62,17.66,2280.0
440,5.496105,,,2.640000e-04,0.7455,2440.9,62.0,1138.9,1475.1,65536.0,0,1181.77,2144.50,17.73,2280.0
450,5.495962,,,2.700000e-04,0.7892,2399.5,62.0,1138.9,1509.1,65536.0,0,1206.55,2174.69,17.64,2280.0
460,5.450668,,,2.760000e-04,0.7534,2435.4,62.0,1138.9,1542.8,65536.0,0,1183.17,2147.71,17.61,2280.0
470,5.430213,,,2.820000e-04,0.7449,2424.6,62.0,1138.9,1576.6,65536.0,0,1189.67,2158.77,19.00,2280.0
480,5.416139,,,2.880000e-04,0.8638,2446.7,62.0,1138.9,1610.2,65536.0,0,1178.09,2138.24,17.49,2280.0
490,5.335297,,,2.940000e-04,0.6801,2446.2,62.0,1138.9,1644.0,65536.0,0,1184.64,2135.95,17.66,2280.0
500,5.341944,5.282347,196.831329,3.000000e-04,0.7825,2438.5,62.0,1138.9,1677.6,65536.0,0,1190.46,2141.13,17.65,2280.0
510,5.305887,,,2.999682e-04,0.7835,2420.1,62.0,1138.9,1715.0,65536.0,0,1191.44,2165.33,17.77,2280.0
520,5.295532,,,2.998728e-04,0.6843,2451.6,62.0,1138.9,1748.7,65536.0,0,1182.25,2129.96,17.71,2280.0
530,5.236928,,,2.997139e-04,0.7908,2433.0,63.0,1138.9,1782.7,65536.0,0,1193.27,2145.89,17.73,2280.0
540,5.213803,,,2.994915e-04,0.7077,2431.2,62.0,1138.9,1816.4,65536.0,0,1188.72,2151.79,17.78,2280.0
550,5.256589,,,2.992057e-04,0.8113,2439.8,63.0,1138.9,1849.9,65536.0,0,1181.04,2147.74,17.58,2280.0
560,5.147860,,,2.988567e-04,0.6651,2451.1,62.0,1138.9,1883.5,65536.0,0,1175.18,2138.67,17.68,2280.0
570,5.206097,,,2.984445e-04,0.7280,2450.6,63.0,1138.9,1917.2,65536.0,0,1179.12,2134.19,17.62,2280.0
580,5.154173,,,2.979694e-04,0.7991,2447.0,62.0,1138.9,1950.7,65536.0,0,1183.19,2135.51,17.70,2280.0
590,5.063616,,,2.974317e-04,0.7552,2451.7,62.0,1138.9,1984.2,65536.0,0,1176.20,2136.45,17.62,2280.0
600,5.152612,,,2.968314e-04,0.7661,2450.7,62.0,1138.9,2017.7,65536.0,0,1179.93,2134.14,17.75,2280.0
610,5.157825,,,2.961690e-04,0.6990,2453.0,62.0,1138.9,2051.2,65536.0,0,1177.74,2133.10,18.32,2280.0
620,5.187462,,,2.954446e-04,0.7422,2454.3,62.0,1138.9,2084.6,65536.0,0,1177.84,2131.96,17.65,2280.0
630,5.160371,,,2.946586e-04,0.6715,2450.1,64.0,1138.9,2118.1,65536.0,0,1179.15,2136.02,17.68,2280.0
640,5.223963,,,2.938113e-04,0.7907,2452.9,62.0,1138.9,2151.6,65536.0,0,1179.89,2131.51,17.62,2280.0
650,5.133110,,,2.929032e-04,0.7219,2450.8,62.0,1138.9,2185.1,65536.0,0,1178.92,2134.41,17.75,2280.0
660,5.001769,,,2.919346e-04,0.6601,2453.4,62.0,1138.9,2218.5,65536.0,0,1180.16,2130.47,17.80,2280.0
670,5.010599,,,2.909059e-04,0.7445,2453.4,62.0,1138.9,2252.1,65536.0,0,1178.24,2132.24,17.81,2280.0
680,5.069031,,,2.898176e-04,0.8617,2452.3,62.0,1138.9,2285.5,65536.0,0,1181.10,2130.81,17.67,2280.0
690,5.035652,,,2.886702e-04,0.7076,2449.9,61.0,1138.9,2319.0,65536.0,0,1178.48,2136.04,17.85,2280.0
700,5.149529,,,2.874641e-04,0.7898,2452.5,62.0,1138.9,2352.5,65536.0,0,1178.19,2133.42,17.79,2280.0
710,5.001112,,,2.861999e-04,0.7199,2450.1,62.0,1138.9,2386.0,65536.0,0,1183.95,2131.55,17.67,2280.0
720,4.941297,,,2.848782e-04,0.7561,2449.2,62.0,1138.9,2419.4,65536.0,0,1182.45,2134.38,17.74,2280.0
730,4.871319,,,2.834995e-04,0.7002,2453.5,62.0,1138.9,2452.9,65536.0,0,1175.30,2135.38,17.72,2280.0
740,4.936471,,,2.820645e-04,0.6923,2453.1,62.0,1138.9,2486.4,65536.0,0,1177.52,2133.66,17.73,2280.0
750,4.945651,,,2.805737e-04,0.7482,2451.4,62.0,1138.9,2519.9,65536.0,0,1179.52,2134.43,17.67,2280.0
760,4.885198,,,2.790279e-04,0.7269,2451.7,62.0,1138.9,2553.4,65536.0,0,1177.36,2135.14,17.64,2280.0
770,4.882072,,,2.774275e-04,0.7727,2449.9,62.0,1138.9,2586.9,65536.0,0,1184.33,2130.73,17.61,2280.0
780,4.831362,,,2.757736e-04,0.7571,2451.7,62.0,1138.9,2620.3,65536.0,0,1180.77,2132.21,17.72,2280.0
790,4.898987,,,2.740666e-04,0.7759,2451.3,62.0,1138.9,2653.8,65536.0,0,1178.52,2134.86,17.65,2280.0
800,4.824938,,,2.723075e-04,0.7689,2453.2,62.0,1138.9,2687.3,65536.0,0,1177.70,2133.70,17.87,2280.0
810,4.782639,,,2.704969e-04,0.7262,2451.4,62.0,1138.9,2720.8,65536.0,0,1176.99,2135.00,17.68,2280.0
820,4.962504,,,2.686356e-04,0.7323,2450.6,62.0,1138.9,2754.3,65536.0,0,1178.31,2135.86,17.75,2280.0
