step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150646,,,0.000000e+00,11.0512,2466.7,59.0,1138.9,3.3,65536.0,0,1145.58,2142.07,17.68,2280.0
10,8.491095,,,6.000000e-06,5.8801,2517.4,60.0,1138.9,36.0,65536.0,0,1116.06,2103.49,17.65,2280.0
20,8.052707,,,1.200000e-05,2.4419,2515.4,60.0,1138.9,68.7,65536.0,0,1119.57,2101.59,18.31,2280.0
30,7.941467,,,1.800000e-05,2.0614,2515.7,61.0,1138.9,101.3,65536.0,0,1118.36,2102.70,17.58,2280.0
40,7.811238,,,2.400000e-05,1.7684,2515.7,61.0,1138.9,133.9,65536.0,0,1121.64,2099.72,17.63,2280.0
50,7.548441,,,3.000000e-05,1.7923,2517.9,61.0,1138.9,166.6,65536.0,0,1118.19,2100.03,17.67,2280.0
60,7.325330,,,3.600000e-05,1.6131,2517.4,61.0,1138.9,199.2,65536.0,0,1118.75,2100.42,17.74,2280.0
70,7.202313,,,4.200000e-05,1.5823,2518.0,61.0,1138.9,231.8,65536.0,0,1118.81,2099.62,17.62,2280.0
80,7.054163,,,4.800000e-05,1.4003,2518.4,61.0,1138.9,264.5,65536.0,0,1121.11,2097.15,17.67,2280.0
90,6.894168,,,5.400000e-05,1.3021,2513.5,61.0,1138.9,297.1,65536.0,0,1122.52,2099.89,17.63,2280.0
100,6.762724,,,6.000000e-05,0.9679,2514.7,61.0,1138.9,329.7,65536.0,0,1119.40,2105.95,17.65,2280.0
110,6.469951,,,6.600000e-05,1.3919,2512.0,61.0,1138.9,362.3,65536.0,0,1117.43,2106.70,17.58,2280.0
120,6.445882,,,7.200000e-05,1.0603,2515.1,61.0,1138.9,394.9,65536.0,0,1122.12,2100.62,17.57,2280.0
130,6.371765,,,7.800000e-05,1.1743,2515.5,61.0,1138.9,427.6,65536.0,0,1121.41,2100.53,17.67,2280.0
140,6.341424,,,8.400001e-05,1.2583,2513.1,61.0,1138.9,460.2,65536.0,0,1119.23,2105.69,17.65,2280.0
150,6.308376,,,9.000000e-05,1.0887,2512.8,61.0,1138.9,492.9,65536.0,0,1124.31,2100.44,17.68,2280.0
160,6.192358,,,9.600000e-05,1.0993,2515.2,61.0,1138.9,525.5,65536.0,0,1120.11,2098.39,17.62,2280.0
170,6.145006,,,1.020000e-04,1.1709,2516.7,61.0,1138.9,558.1,65536.0,0,1119.29,2101.06,17.68,2280.0
180,6.001694,,,1.080000e-04,1.0434,2513.1,61.0,1138.9,590.8,65536.0,0,1121.04,2103.56,17.53,2280.0
190,6.019278,,,1.140000e-04,0.9983,2515.4,61.0,1138.9,623.4,65536.0,0,1117.31,2107.67,17.73,2280.0
200,5.917509,,,1.200000e-04,1.3716,2515.9,61.0,1138.9,656.1,65536.0,0,1120.20,2101.22,17.61,2280.0
