step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0513,1849.8,60.0,1126.9,4.4,65536.0,0,1180.31,3216.88,17.58,2280.0
10,8.491112,,,6.000000e-06,5.8800,1872.5,61.0,1126.9,48.2,65536.0,0,1158.90,3185.10,17.50,2280.0
20,8.052705,,,1.200000e-05,2.4420,1872.3,61.0,1126.9,92.0,65536.0,0,1160.23,3184.18,17.49,2280.0
30,7.941469,,,1.800000e-05,2.0615,1872.6,61.0,1126.9,135.8,65536.0,0,1161.79,3181.49,17.50,2280.0
40,7.811252,,,2.400000e-05,1.7685,1875.8,61.0,1126.9,179.6,65536.0,0,1161.79,3174.77,17.46,2280.0
50,7.548441,,,3.000000e-05,1.7923,1875.0,61.0,1126.9,223.3,65536.0,0,1159.79,3177.76,17.52,2280.0
60,7.325317,,,3.600000e-05,1.6127,1874.5,61.0,1126.9,267.1,65536.0,0,1160.51,3178.57,17.49,2280.0
70,7.202305,,,4.200000e-05,1.5822,1874.2,61.0,1126.9,310.9,65536.0,0,1162.23,3177.87,17.43,2280.0
80,7.054163,,,4.800000e-05,1.4007,1873.4,61.0,1126.9,354.7,65536.0,0,1162.34,3179.61,17.47,2280.0
90,6.894162,,,5.400000e-05,1.3021,1872.2,61.0,1126.9,398.5,65536.0,0,1163.36,3177.22,17.45,2280.0
100,6.762717,,,6.000000e-05,0.9678,1874.3,61.0,1126.9,442.3,65536.0,0,1162.27,3179.66,17.50,2280.0
110,6.469951,,,6.600000e-05,1.3917,1872.2,61.0,1126.9,486.0,65536.0,0,1162.04,3180.31,17.46,2280.0
120,6.445880,,,7.200000e-05,1.0601,1873.0,61.0,1126.9,529.9,65536.0,0,1161.35,3180.82,17.60,2280.0
130,6.371754,,,7.800000e-05,1.1735,1872.8,61.0,1126.9,573.7,65536.0,0,1161.24,3181.61,17.49,2280.0
140,6.341424,,,8.400001e-05,1.2580,1872.6,61.0,1126.9,617.5,65536.0,0,1163.93,3179.52,17.53,2280.0
150,6.308385,,,9.000000e-05,1.0889,1873.6,61.0,1126.9,661.3,65536.0,0,1160.55,3180.37,17.48,2280.0
160,6.192334,,,9.600000e-05,1.0989,1872.1,61.0,1126.9,705.2,65536.0,0,1162.07,3182.33,17.47,2280.0
