step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0512,2119.4,61.0,1139.5,3.9,65536.0,0,1167.49,2666.57,17.57,2280.0
10,8.491113,,,6.000000e-06,5.8800,2122.4,62.0,1139.5,42.5,65536.0,0,1166.66,2662.37,17.64,2280.0
20,8.052705,,,1.200000e-05,2.4420,2127.8,61.0,1139.5,81.1,65536.0,0,1164.92,2654.73,17.56,2280.0
30,7.941469,,,1.800000e-05,2.0615,2124.4,62.0,1139.5,119.8,65536.0,0,1166.91,2658.46,17.54,2280.0
40,7.811246,,,2.400000e-05,1.7685,2124.4,62.0,1139.5,158.3,65536.0,0,1164.00,2661.58,17.54,2280.0
50,7.548433,,,3.000000e-05,1.7922,2124.7,62.0,1139.5,197.0,65536.0,0,1167.54,2657.69,17.58,2280.0
60,7.325316,,,3.600000e-05,1.6128,2127.0,62.0,1139.5,235.6,65536.0,0,1164.80,2655.53,17.51,2280.0
70,7.202305,,,4.200000e-05,1.5822,2123.5,61.0,1139.5,274.2,65536.0,0,1167.86,2658.88,17.70,2280.0
80,7.054165,,,4.800000e-05,1.4007,2123.9,61.0,1139.5,312.8,65536.0,0,1168.19,2658.23,17.51,2280.0
90,6.894162,,,5.400000e-05,1.3020,2121.8,61.0,1139.5,351.5,65536.0,0,1166.39,2664.22,17.51,2280.0
100,6.762712,,,6.000000e-05,0.9678,2125.3,62.0,1139.5,390.1,65536.0,0,1165.28,2661.30,17.54,2280.0
110,6.469949,,,6.600000e-05,1.3915,2120.9,61.0,1139.5,428.7,65536.0,0,1164.39,2666.95,17.57,2280.0
120,6.445876,,,7.200000e-05,1.0601,2125.4,61.0,1139.5,467.3,65536.0,0,1167.40,2656.57,17.52,2280.0
130,6.371759,,,7.800000e-05,1.1735,2125.3,61.0,1139.5,505.9,65536.0,0,1165.31,2658.51,17.60,2280.0
140,6.341419,,,8.400001e-05,1.2581,2125.1,61.0,1139.5,544.5,65536.0,0,1165.69,2658.03,17.58,2280.0
150,6.308377,,,9.000000e-05,1.0888,2126.5,61.0,1139.5,583.2,65536.0,0,1165.87,2655.30,17.55,2280.0
160,6.192333,,,9.600000e-05,1.0991,2124.4,61.0,1139.5,621.8,65536.0,0,1166.17,2659.42,17.55,2280.0
170,6.145000,,,1.020000e-04,1.1709,2124.5,61.0,1139.5,660.4,65536.0,0,1167.58,2657.25,17.51,2280.0
180,6.001704,,,1.080000e-04,1.0436,2124.3,61.0,1139.5,699.0,65536.0,0,1167.27,2657.46,17.53,2280.0
190,6.019272,,,1.140000e-04,0.9985,2124.5,61.0,1139.5,737.6,65536.0,0,1165.46,2662.73,17.63,2280.0
200,5.917498,,,1.200000e-04,1.3708,2125.2,61.0,1139.5,776.2,65536.0,0,1167.61,2655.72,17.60,2280.0
210,5.961964,,,1.260000e-04,1.2559,2123.6,61.0,1139.5,814.9,65536.0,0,1167.90,2659.23,17.65,2280.0
220,5.880713,,,1.320000e-04,1.2104,2125.3,61.0,1139.5,853.5,65536.0,0,1165.67,2657.39,17.65,2280.0
230,5.843411,,,1.380000e-04,1.1341,2125.1,61.0,1139.5,892.1,65536.0,0,1164.74,2659.58,17.56,2280.0
240,5.809750,,,1.440000e-04,1.1062,2120.8,62.0,1139.5,930.7,65536.0,0,1170.06,2662.22,17.54,2280.0
250,5.796298,,,1.500000e-04,1.1838,2125.0,62.0,1139.5,969.3,65536.0,0,1166.63,2658.02,17.52,2280.0
260,5.674931,,,1.560000e-04,0.9587,2126.7,61.0,1139.5,1007.9,65536.0,0,1165.52,2655.80,17.58,2280.0
270,5.730743,,,1.620000e-04,1.0087,2125.5,61.0,1139.5,1046.6,65536.0,0,1167.01,2656.90,17.51,2280.0
280,5.779050,,,1.680000e-04,0.9020,2123.9,61.0,1139.5,1085.1,65536.0,0,1168.75,2660.71,17.70,2280.0
290,5.707989,,,1.740000e-04,1.0690,2127.5,62.0,1139.5,1123.7,65536.0,0,1164.71,2655.55,17.60,2280.0
300,5.686135,,,1.800000e-04,1.0273,2126.6,61.0,1139.5,1162.3,65536.0,0,1165.66,2656.01,17.51,2280.0
310,5.648788,,,1.860000e-04,0.8956,2124.1,61.0,1139.5,1200.9,65536.0,0,1168.40,2660.58,17.56,2280.0
320,5.659061,,,1.920000e-04,0.9014,2128.2,61.0,1139.5,1239.5,65536.0,0,1166.60,2655.21,17.52,2280.0
330,5.638559,,,1.980000e-04,0.9685,2127.0,62.0,1139.5,1278.1,65536.0,0,1164.94,2657.75,17.64,2280.0
340,5.618917,,,2.040000e-04,0.7668,2125.5,61.0,1139.5,1316.7,65536.0,0,1166.97,2659.15,17.54,2280.0
350,5.542956,,,2.100000e-04,0.6763,2126.1,61.0,1139.5,1355.3,65536.0,0,1167.50,2656.98,17.62,2280.0
360,5.531381,,,2.160000e-04,0.8688,2126.4,62.0,1139.5,1393.9,65536.0,0,1165.92,2658.23,17.65,2280.0
370,5.552013,,,2.220000e-04,0.9669,2125.3,61.0,1139.5,1432.5,65536.0,0,1165.75,2660.41,17.58,2280.0
