step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150646,,,0.000000e+00,11.0512,1898.5,61.0,1126.9,4.3,65536.0,0,1136.28,3144.51,17.58,2280.0
10,8.491095,,,6.000000e-06,5.8801,1923.5,62.0,1126.9,47.0,65536.0,0,1110.82,3111.71,17.50,2280.0
20,8.052706,,,1.200000e-05,2.4419,1924.5,62.0,1126.9,89.6,65536.0,0,1108.61,3111.21,17.35,2280.0
30,7.941466,,,1.800000e-05,2.0613,1926.5,62.0,1126.9,132.2,65536.0,0,1107.90,3109.69,17.50,2280.0
40,7.811245,,,2.400000e-05,1.7684,1927.7,62.0,1126.9,174.8,65536.0,0,1109.40,3105.60,17.45,2280.0
50,7.548449,,,3.000000e-05,1.7924,1927.2,62.0,1126.9,217.4,65536.0,0,1108.40,3107.21,17.47,2280.0
60,7.325330,,,3.600000e-05,1.6131,1928.0,62.0,1126.9,260.0,65536.0,0,1107.12,3107.54,17.44,2280.0
70,7.202311,,,4.200000e-05,1.5822,1927.7,62.0,1126.9,302.6,65536.0,0,1107.33,3107.69,17.48,2280.0
80,7.054163,,,4.800000e-05,1.4002,1925.4,62.0,1126.9,345.2,65536.0,0,1110.72,3106.71,17.50,2280.0
90,6.894166,,,5.400000e-05,1.3021,1926.6,62.0,1126.9,387.7,65536.0,0,1110.97,3106.09,17.54,2280.0
100,6.762722,,,6.000000e-05,0.9679,1926.9,62.0,1126.9,430.4,65536.0,0,1109.05,3108.05,17.53,2280.0
110,6.469949,,,6.600000e-05,1.3919,1926.1,62.0,1126.9,472.9,65536.0,0,1110.50,3107.49,17.48,2280.0
120,6.445881,,,7.200000e-05,1.0603,1926.3,62.0,1126.9,515.6,65536.0,0,1109.57,3108.06,17.56,2280.0
130,6.371763,,,7.800000e-05,1.1742,1926.0,62.0,1126.9,558.2,65536.0,0,1108.49,3110.06,17.54,2280.0
140,6.341429,,,8.400001e-05,1.2583,1926.3,62.0,1126.9,600.8,65536.0,0,1109.57,3108.69,17.54,2280.0
150,6.308395,,,9.000000e-05,1.0888,1923.8,62.0,1126.9,643.4,65536.0,0,1107.98,3114.25,17.57,2280.0
160,6.192356,,,9.600000e-05,1.0992,1925.9,62.0,1126.9,686.0,65536.0,0,1110.19,3108.70,17.45,2280.0
170,6.145009,,,1.020000e-04,1.1707,1927.1,62.0,1126.9,728.6,65536.0,0,1107.04,3109.07,17.62,2280.0
180,6.001703,,,1.080000e-04,1.0437,1926.2,62.0,1126.9,771.2,65536.0,0,1109.52,3108.77,17.50,2280.0
190,6.019274,,,1.140000e-04,0.9979,1926.7,62.0,1126.9,813.8,65536.0,0,1108.92,3111.20,17.59,2280.0
200,5.917516,,,1.200000e-04,1.3723,1925.8,62.0,1126.9,856.3,65536.0,0,1108.49,3110.82,17.59,2280.0
210,5.961966,,,1.260000e-04,1.2558,1926.3,62.0,1126.9,899.0,65536.0,0,1108.40,3108.69,17.61,2280.0
220,5.880741,,,1.320000e-04,1.2117,1926.4,62.0,1126.9,941.6,65536.0,0,1106.64,3111.32,17.59,2280.0
230,5.843423,,,1.380000e-04,1.1336,1925.3,62.0,1126.9,984.1,65536.0,0,1109.69,3110.42,17.53,2280.0
240,5.809725,,,1.440000e-04,1.1043,1925.7,62.0,1126.9,1026.7,65536.0,0,1108.51,3110.31,17.58,2280.0
250,5.796295,,,1.500000e-04,1.1830,1924.9,62.0,1126.9,1069.3,65536.0,0,1110.24,3107.89,17.51,2280.0
260,5.674924,,,1.560000e-04,0.9590,1928.3,62.0,1126.9,1111.9,65536.0,0,1107.44,3108.62,17.46,2280.0
270,5.730752,,,1.620000e-04,1.0083,1924.8,62.0,1126.9,1154.5,65536.0,0,1111.54,3109.83,17.54,2280.0
280,5.779067,,,1.680000e-04,0.9019,1925.9,62.0,1126.9,1197.1,65536.0,0,1110.21,3110.89,17.57,2280.0
290,5.707986,,,1.740000e-04,1.0689,1925.8,62.0,1126.9,1239.7,65536.0,0,1109.27,3109.63,17.87,2280.0
300,5.686147,,,1.800000e-04,1.0273,1926.9,62.0,1126.9,1282.3,65536.0,0,1108.93,3107.78,17.47,2280.0
310,5.648788,,,1.860000e-04,0.8956,1927.6,62.0,1126.9,1324.9,65536.0,0,1107.87,3106.24,17.49,2280.0
320,5.659081,,,1.920000e-04,0.9014,1927.6,62.0,1126.9,1367.4,65536.0,0,1107.75,3109.28,17.60,2280.0
330,5.638562,,,1.980000e-04,0.9684,1928.0,62.0,1126.9,1410.0,65536.0,0,1108.60,3108.54,17.51,2280.0
340,5.618922,,,2.040000e-04,0.7668,1926.4,62.0,1126.9,1452.6,65536.0,0,1112.90,3106.92,17.53,2280.0
350,5.542971,,,2.100000e-04,0.6764,1926.0,62.0,1126.9,1495.2,65536.0,0,1108.47,3112.84,17.52,2280.0
360,5.531404,,,2.160000e-04,0.8689,1925.8,62.0,1126.9,1537.8,65536.0,0,1108.28,3113.13,17.51,2280.0
370,5.552011,,,2.220000e-04,0.9668,1926.6,62.0,1126.9,1580.3,65536.0,0,1109.62,3110.49,17.52,2280.0
380,5.473975,,,2.280000e-04,1.4339,1925.9,62.0,1126.9,1622.9,65536.0,0,1111.23,3106.89,17.54,2280.0
390,5.429877,,,2.340000e-04,0.8346,1925.3,62.0,1126.9,1665.5,65536.0,0,1112.07,3108.20,17.61,2280.0
400,5.382829,,,2.400000e-04,0.7610,1928.1,62.0,1126.9,1708.1,65536.0,0,1108.47,3108.53,17.57,2280.0
410,5.430506,,,2.460000e-04,0.6903,1927.4,62.0,1126.9,1750.7,65536.0,0,1107.17,3110.52,17.77,2280.0
420,5.492101,,,2.520000e-04,0.7549,1926.6,62.0,1126.9,1793.3,65536.0,0,1110.22,3110.26,17.44,2280.0
430,5.376122,,,2.580000e-04,0.7664,1926.8,62.0,1126.9,1835.9,65536.0,0,1108.25,3110.81,17.52,2280.0
440,5.496121,,,2.640000e-04,0.7457,1926.1,62.0,1126.9,1878.5,65536.0,0,1112.41,3108.43,17.53,2280.0
450,5.495978,,,2.700000e-04,0.7895,1926.5,62.0,1126.9,1921.0,65536.0,0,1108.97,3109.45,17.50,2280.0
460,5.450648,,,2.760000e-04,0.7531,1928.0,62.0,1126.9,1963.6,65536.0,0,1108.87,3108.09,17.58,2280.0
470,5.430237,,,2.820000e-04,0.7451,1927.3,62.0,1126.9,2006.2,65536.0,0,1109.59,3108.73,17.51,2280.0
480,5.416154,,,2.880000e-04,0.8641,1927.8,62.0,1126.9,2048.8,65536.0,0,1109.18,3107.68,17.49,2280.0
490,5.335319,,,2.940000e-04,0.6802,1927.4,62.0,1126.9,2091.3,65536.0,0,1111.49,3106.21,17.57,2280.0
500,5.341938,5.282341,196.830215,3.000000e-04,0.7824,1926.6,62.0,1126.9,2133.9,65536.0,0,1110.56,3109.45,17.66,2280.0
510,5.305912,,,2.999682e-04,0.7838,1927.6,62.0,1126.9,2179.8,65536.0,0,1107.69,3107.67,17.61,2280.0
520,5.295561,,,2.998728e-04,0.6844,1929.2,62.0,1126.9,2222.4,65536.0,0,1107.56,3104.33,17.45,2280.0
530,5.236911,,,2.997139e-04,0.7906,1926.6,62.0,1126.9,2264.9,65536.0,0,1108.96,3110.97,17.57,2280.0
540,5.213837,,,2.994915e-04,0.7078,1927.9,62.0,1126.9,2307.5,65536.0,0,1108.53,3108.70,17.58,2280.0
550,5.256569,,,2.992057e-04,0.8111,1928.1,62.0,1126.9,2350.1,65536.0,0,1108.48,3109.04,17.52,2280.0
560,5.147865,,,2.988567e-04,0.6651,1928.2,62.0,1126.9,2392.6,65536.0,0,1108.16,3106.71,17.46,2280.0
570,5.206134,,,2.984445e-04,0.7278,1928.7,62.0,1126.9,2435.2,65536.0,0,1107.61,3106.21,17.48,2280.0
580,5.154132,,,2.979694e-04,0.7986,1929.3,61.0,1126.9,2477.7,65536.0,0,1108.39,3105.98,17.53,2280.0
590,5.063637,,,2.974317e-04,0.7553,1930.7,61.0,1126.9,2520.2,65536.0,0,1107.30,3104.43,17.58,2280.0
600,5.152623,,,2.968314e-04,0.7660,1928.8,61.0,1126.9,2562.7,65536.0,0,1111.17,3105.08,17.49,2280.0
610,5.157831,,,2.961690e-04,0.6990,1926.7,61.0,1126.9,2605.3,65536.0,0,1109.98,3110.41,17.51,2280.0
620,5.187470,,,2.954446e-04,0.7423,1929.9,61.0,1126.9,2647.8,65536.0,0,1108.43,3105.61,17.56,2280.0
630,5.160415,,,2.946586e-04,0.6718,1927.5,61.0,1126.9,2690.3,65536.0,0,1111.81,3106.89,17.54,2280.0
640,5.223937,,,2.938113e-04,0.7904,1926.5,61.0,1126.9,2732.9,65536.0,0,1111.76,3108.60,17.54,2280.0
650,5.133046,,,2.929032e-04,0.7216,1928.6,61.0,1126.9,2775.4,65536.0,0,1106.02,3110.73,17.47,2280.0
660,5.001809,,,2.919346e-04,0.6604,1928.7,61.0,1126.9,2818.0,65536.0,0,1110.83,3105.29,17.65,2280.0
670,5.010633,,,2.909059e-04,0.7444,1927.0,61.0,1126.9,2860.5,65536.0,0,1105.93,3113.89,17.58,2280.0
680,5.069052,,,2.898176e-04,0.8614,1926.9,61.0,1126.9,2903.0,65536.0,0,1110.84,3109.64,17.40,2280.0
690,5.035633,,,2.886702e-04,0.7074,1924.8,62.0,1126.9,2945.6,65536.0,0,1108.81,3115.09,17.59,2280.0
700,5.149537,,,2.874641e-04,0.7896,1926.6,62.0,1126.9,2988.2,65536.0,0,1109.86,3111.16,17.53,2280.0
710,5.001131,,,2.861999e-04,0.7200,1927.0,61.0,1126.9,3030.8,65536.0,0,1110.72,3109.12,17.63,2280.0
720,4.941278,,,2.848782e-04,0.7559,1925.0,61.0,1126.9,3073.3,65536.0,0,1111.90,3109.79,17.70,2280.0
730,4.871341,,,2.834995e-04,0.7003,1925.8,61.0,1126.9,3115.9,65536.0,0,1110.62,3111.74,17.52,2280.0
740,4.936487,,,2.820645e-04,0.6930,1927.6,61.0,1126.9,3158.5,65536.0,0,1109.27,3109.12,17.55,2280.0
750,4.945735,,,2.805737e-04,0.7482,1926.9,61.0,1126.9,3201.0,65536.0,0,1108.52,3111.45,17.62,2280.0
760,4.885229,,,2.790279e-04,0.7268,1928.2,61.0,1126.9,3243.6,65536.0,0,1108.09,3109.62,17.53,2280.0
770,4.882087,,,2.774275e-04,0.7724,1927.8,61.0,1126.9,3286.1,65536.0,0,1110.69,3107.20,17.63,2280.0
780,4.831388,,,2.757736e-04,0.7572,1928.5,61.0,1126.9,3328.7,65536.0,0,1110.06,3105.25,17.45,2280.0
790,4.898979,,,2.740666e-04,0.7762,1928.5,61.0,1126.9,3371.2,65536.0,0,1106.01,3110.02,17.51,2280.0
800,4.825043,,,2.723075e-04,0.7694,1927.1,61.0,1126.9,3413.8,65536.0,0,1109.48,3110.07,17.63,2280.0
810,4.782650,,,2.704969e-04,0.7259,1929.1,61.0,1126.9,3456.4,65536.0,0,1108.22,3106.79,17.58,2280.0
820,4.962472,,,2.686356e-04,0.7319,1925.1,61.0,1126.9,3498.9,65536.0,0,1111.17,3112.54,17.57,2280.0
830,4.907435,,,2.667244e-04,0.7402,1927.1,61.0,1126.9,3541.5,65536.0,0,1108.69,3110.42,17.60,2280.0
840,4.867542,,,2.647643e-04,0.7444,1927.4,61.0,1126.9,3584.1,65536.0,0,1109.23,3109.75,17.51,2280.0
850,4.818345,,,2.627560e-04,0.7298,1927.6,61.0,1126.9,3626.6,65536.0,0,1109.23,3109.06,17.61,2280.0
860,4.813839,,,2.607005e-04,0.6921,1928.8,61.0,1126.9,3669.2,65536.0,0,1108.97,3107.08,17.59,2280.0
870,4.848785,,,2.585985e-04,0.6906,1927.4,61.0,1126.9,3711.8,65536.0,0,1107.43,3111.75,17.47,2280.0
880,4.731201,,,2.564512e-04,0.7044,1929.2,61.0,1126.9,3754.3,65536.0,0,1110.17,3103.86,17.44,2280.0
890,4.732158,,,2.542594e-04,0.7111,1926.4,61.0,1126.9,3796.9,65536.0,0,1107.82,3112.05,17.62,2280.0
900,4.764214,,,2.520240e-04,0.7436,1925.4,61.0,1126.9,3839.4,65536.0,0,1112.35,3110.38,17.51,2280.0
910,4.811835,,,2.497460e-04,0.6918,1926.6,61.0,1126.9,3882.0,65536.0,0,1107.22,3113.11,17.62,2280.0
920,4.802468,,,2.474265e-04,0.7008,1928.5,61.0,1126.9,3924.5,65536.0,0,1110.79,3104.96,17.59,2280.0
930,4.779316,,,2.450664e-04,0.7145,1927.3,61.0,1126.9,3967.1,65536.0,0,1111.67,3106.64,17.63,2280.0
940,4.748154,,,2.426669e-04,0.6986,1926.2,61.0,1126.9,4009.7,65536.0,0,1107.86,3112.05,17.38,2280.0
950,4.754615,,,2.402289e-04,0.7488,1926.5,61.0,1126.9,4052.3,65536.0,0,1108.97,3110.83,17.32,2280.0
960,4.744587,,,2.377535e-04,0.7463,1926.4,61.0,1126.9,4094.9,65536.0,0,1110.11,3110.11,17.59,2280.0
970,4.697940,,,2.352418e-04,0.7188,1925.9,61.0,1126.9,4137.4,65536.0,0,1111.12,3111.17,17.44,2280.0
980,4.637089,,,2.326949e-04,0.7360,1928.4,61.0,1126.9,4180.0,65536.0,0,1111.07,3104.76,17.57,2280.0
990,4.683192,,,2.301139e-04,0.7411,1926.9,61.0,1126.9,4222.5,65536.0,0,1108.07,3109.50,17.51,2280.0
1000,4.685700,4.684740,108.282120,2.275000e-04,0.7068,1928.2,61.0,1126.9,4265.1,65536.0,0,1110.07,3106.73,17.53,2280.0
1010,4.642758,,,2.248543e-04,0.7326,1929.0,61.0,1126.9,4311.1,65536.0,0,1110.78,3104.14,17.59,2280.0
1020,4.663638,,,2.221779e-04,0.7473,1927.2,61.0,1126.9,4353.6,65536.0,0,1107.81,3111.58,17.55,2280.0
1030,4.674233,,,2.194721e-04,0.7385,1926.9,61.0,1126.9,4396.2,65536.0,0,1109.18,3109.47,17.58,2280.0
1040,4.703226,,,2.167380e-04,0.6885,1929.0,61.0,1126.9,4438.7,65536.0,0,1111.08,3103.86,17.61,2280.0
1050,4.637784,,,2.139768e-04,0.7047,1927.5,61.0,1126.9,4481.3,65536.0,0,1108.43,3109.80,17.53,2280.0
1060,4.685002,,,2.111898e-04,0.7018,1927.0,61.0,1126.9,4523.8,65536.0,0,1110.01,3109.75,17.51,2280.0
1070,4.775365,,,2.083781e-04,0.7496,1929.8,61.0,1126.9,4566.4,65536.0,0,1108.11,3105.05,17.50,2280.0
1080,4.622718,,,2.055430e-04,0.7298,1926.5,61.0,1126.9,4608.9,65536.0,0,1113.59,3104.46,17.47,2280.0
1090,4.567684,,,2.026857e-04,0.6998,1928.3,61.0,1126.9,4651.5,65536.0,0,1109.00,3107.41,17.61,2280.0
1100,4.620370,,,1.998075e-04,0.7523,1928.6,61.0,1126.9,4694.1,65536.0,0,1110.22,3105.74,17.58,2280.0
1110,4.650030,,,1.969096e-04,0.7867,1926.0,61.0,1126.9,4736.6,65536.0,0,1110.64,3110.20,17.66,2280.0
1120,4.555133,,,1.939934e-04,0.6844,1926.3,61.0,1126.9,4779.2,65536.0,0,1108.20,3112.23,17.53,2280.0
1130,4.622379,,,1.910601e-04,0.7216,1926.9,61.0,1126.9,4821.8,65536.0,0,1108.82,3111.21,17.52,2280.0
1140,4.701096,,,1.881109e-04,0.7176,1929.1,61.0,1126.9,4864.3,65536.0,0,1108.77,3104.10,17.46,2280.0
1150,4.460434,,,1.851472e-04,0.7274,1929.0,61.0,1126.9,4906.9,65536.0,0,1107.26,3107.65,17.57,2280.0
1160,4.476893,,,1.821703e-04,0.7279,1929.5,61.0,1126.9,4949.4,65536.0,0,1109.22,3104.80,17.59,2280.0
1170,4.410885,,,1.791815e-04,0.7529,1929.2,61.0,1126.9,4992.0,65536.0,0,1110.41,3103.58,17.53,2280.0
1180,4.556082,,,1.761820e-04,0.7476,1928.3,61.0,1126.9,5034.5,65536.0,0,1111.46,3104.59,17.52,2280.0
1190,4.506888,,,1.731733e-04,0.7357,1926.8,61.0,1126.9,5077.1,65536.0,0,1110.03,3109.36,17.58,2280.0
1200,4.580918,,,1.701566e-04,0.7459,1927.7,61.0,1126.9,5119.6,65536.0,0,1111.46,3105.90,17.50,2280.0
1210,4.570342,,,1.671333e-04,0.7083,1927.6,61.0,1126.9,5162.2,65536.0,0,1109.05,3108.81,17.61,2280.0
1220,4.577081,,,1.641046e-04,0.6897,1926.1,61.0,1126.9,5204.8,65536.0,0,1111.14,3109.73,17.49,2280.0
1230,4.439286,,,1.610720e-04,0.7125,1926.6,61.0,1126.9,5247.4,65536.0,0,1109.33,3110.87,17.50,2280.0
1240,4.497547,,,1.580367e-04,0.7120,1924.6,61.0,1126.9,5290.0,65536.0,0,1111.23,3113.13,17.66,2280.0
