step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150646,,,0.000000e+00,11.0512,2171.4,60.0,1139.5,3.8,65536.0,0,1113.52,2622.74,17.39,2280.0
10,8.491095,,,6.000000e-06,5.8801,2178.0,61.0,1139.5,41.4,65536.0,0,1114.50,2612.83,17.40,2280.0
20,8.052706,,,1.200000e-05,2.4419,2187.3,60.0,1139.5,78.9,65536.0,0,1111.68,2599.05,17.59,2280.0
30,7.941465,,,1.800000e-05,2.0614,2186.6,60.0,1139.5,116.5,65536.0,0,1109.72,2602.68,17.54,2280.0
40,7.811237,,,2.400000e-05,1.7684,2185.6,61.0,1139.5,154.0,65536.0,0,1112.69,2601.59,17.57,2280.0
50,7.548439,,,3.000000e-05,1.7923,2186.1,60.0,1139.5,191.6,65536.0,0,1112.88,2600.45,17.51,2280.0
60,7.325327,,,3.600000e-05,1.6131,2187.7,61.0,1139.5,229.1,65536.0,0,1109.36,2601.32,17.49,2280.0
70,7.202313,,,4.200000e-05,1.5823,2184.0,61.0,1139.5,266.6,65536.0,0,1110.21,2604.03,17.60,2280.0
80,7.054161,,,4.800000e-05,1.4002,2184.8,61.0,1139.5,304.1,65536.0,0,1112.01,2603.30,17.60,2280.0
90,6.894167,,,5.400000e-05,1.3021,2186.1,61.0,1139.5,341.7,65536.0,0,1110.43,2602.73,17.51,2280.0
100,6.762722,,,6.000000e-05,0.9678,2185.7,60.0,1139.5,379.2,65536.0,0,1108.99,2607.07,17.57,2280.0
110,6.469944,,,6.600000e-05,1.3917,2186.5,60.0,1139.5,416.8,65536.0,0,1108.63,2604.32,17.50,2280.0
120,6.445873,,,7.200000e-05,1.0598,2182.7,61.0,1139.5,454.3,65536.0,0,1108.53,2609.66,17.55,2280.0
130,6.371758,,,7.800000e-05,1.1743,2185.6,61.0,1139.5,491.8,65536.0,0,1110.44,2601.47,17.36,2280.0
140,6.341424,,,8.400001e-05,1.2572,2186.9,60.0,1139.5,529.4,65536.0,0,1108.90,2603.14,17.56,2280.0
150,6.308414,,,9.000000e-05,1.0892,2183.9,60.0,1139.5,567.0,65536.0,0,1111.89,2605.28,17.50,2280.0
160,6.192358,,,9.600000e-05,1.0995,2182.6,60.0,1139.5,604.5,65536.0,0,1112.15,2606.25,17.54,2280.0
170,6.145005,,,1.020000e-04,1.1705,2184.6,60.0,1139.5,642.1,65536.0,0,1111.07,2603.41,17.53,2280.0
180,6.001707,,,1.080000e-04,1.0441,2184.9,61.0,1139.5,679.7,65536.0,0,1111.39,2603.72,17.50,2280.0
190,6.019269,,,1.140000e-04,0.9974,2185.3,61.0,1139.5,717.2,65536.0,0,1112.62,2603.51,17.53,2280.0
200,5.917535,,,1.200000e-04,1.3729,2182.8,60.0,1139.5,754.8,65536.0,0,1109.90,2607.88,17.54,2280.0
210,5.961959,,,1.260000e-04,1.2555,2186.3,61.0,1139.5,792.3,65536.0,0,1108.96,2602.75,17.47,2280.0
220,5.880760,,,1.320000e-04,1.2126,2184.4,61.0,1139.5,829.9,65536.0,0,1110.66,2604.67,17.46,2280.0
230,5.843403,,,1.380000e-04,1.1330,2182.3,61.0,1139.5,867.5,65536.0,0,1109.55,2609.30,17.52,2280.0
240,5.809711,,,1.440000e-04,1.1034,2182.3,61.0,1139.5,905.0,65536.0,0,1109.44,2609.25,17.50,2280.0
250,5.796263,,,1.500000e-04,1.1822,2184.5,61.0,1139.5,942.6,65536.0,0,1109.24,2605.16,17.45,2280.0
260,5.674921,,,1.560000e-04,0.9593,2162.0,61.0,1139.5,980.3,65536.0,0,1119.93,2636.38,17.89,2280.0
270,5.730728,,,1.620000e-04,1.0075,2180.9,61.0,1139.5,1017.9,65536.0,0,1110.03,2611.58,17.58,2280.0
280,5.779090,,,1.680000e-04,0.9026,2185.7,61.0,1139.5,1055.4,65536.0,0,1109.22,2606.75,17.57,2280.0
290,5.707980,,,1.740000e-04,1.0686,2183.2,61.0,1139.5,1093.0,65536.0,0,1113.91,2603.91,17.51,2280.0
300,5.686151,,,1.800000e-04,1.0274,2181.5,61.0,1139.5,1130.6,65536.0,0,1109.54,2607.63,18.08,2280.0
310,5.648801,,,1.860000e-04,0.8956,2182.2,61.0,1139.5,1168.2,65536.0,0,1109.37,2613.07,17.60,2280.0
320,5.659086,,,1.920000e-04,0.9014,2185.8,61.0,1139.5,1205.7,65536.0,0,1110.28,2605.90,17.54,2280.0
