step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0512,2483.6,46.0,1138.9,3.3,65536.0,0,1163.45,2104.56,17.32,2280.0
10,8.491112,,,6.000000e-06,5.8800,2509.2,52.0,1138.9,35.9,65536.0,0,1151.12,2083.82,17.52,2280.0
20,8.052705,,,1.200000e-05,2.4420,2479.3,55.0,1138.9,68.8,65536.0,0,1158.71,2115.47,17.45,2280.0
30,7.941469,,,1.800000e-05,2.0615,2472.2,55.0,1138.9,101.8,65536.0,0,1163.71,2119.85,17.59,2280.0
40,7.811246,,,2.400000e-05,1.7685,2483.8,57.0,1138.9,134.8,65536.0,0,1163.09,2104.70,17.53,2280.0
50,7.548433,,,3.000000e-05,1.7922,2477.0,58.0,1138.9,168.0,65536.0,0,1164.43,2112.96,17.49,2280.0
60,7.325316,,,3.600000e-05,1.6128,2478.3,58.0,1138.9,201.2,65536.0,0,1167.59,2107.97,17.54,2280.0
70,7.202307,,,4.200000e-05,1.5822,2480.5,58.0,1138.9,234.3,65536.0,0,1166.51,2106.57,17.58,2280.0
80,7.054163,,,4.800000e-05,1.4005,2477.9,58.0,1138.9,267.4,65536.0,0,1163.57,2112.62,17.58,2280.0
90,6.894164,,,5.400000e-05,1.3022,2475.5,59.0,1138.9,300.6,65536.0,0,1169.94,2109.38,17.51,2280.0
100,6.762716,,,6.000000e-05,0.9680,2476.2,59.0,1138.9,333.8,65536.0,0,1167.06,2113.08,17.82,2280.0
110,6.469955,,,6.600000e-05,1.3920,2465.8,59.0,1138.9,367.0,65536.0,0,1171.16,2121.38,17.58,2280.0
120,6.445879,,,7.200000e-05,1.0602,2460.9,59.0,1138.9,400.3,65536.0,0,1172.46,2126.03,17.57,2280.0
130,6.371765,,,7.800000e-05,1.1739,2455.6,59.0,1138.9,433.6,65536.0,0,1174.33,2126.66,17.58,2280.0
140,6.341424,,,8.400001e-05,1.2582,2456.8,60.0,1138.9,467.0,65536.0,0,1177.24,2125.61,17.53,2280.0
150,6.308388,,,9.000000e-05,1.0889,2454.5,61.0,1138.9,500.4,65536.0,0,1175.84,2129.24,17.79,2280.0
160,6.192337,,,9.600000e-05,1.0987,2456.5,61.0,1138.9,533.9,65536.0,0,1176.32,2126.33,17.54,2280.0
170,6.145016,,,1.020000e-04,1.1713,2453.0,62.0,1138.9,567.3,65536.0,0,1175.53,2132.45,17.70,2280.0
180,6.001705,,,1.080000e-04,1.0438,2448.7,62.0,1138.9,600.8,65536.0,0,1180.61,2132.83,17.74,2280.0
190,6.019278,,,1.140000e-04,0.9986,2458.0,62.0,1138.9,634.2,65536.0,0,1175.61,2129.09,17.60,2280.0
