step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150646,,,0.000000e+00,11.0512,2487.6,62.0,1138.9,3.3,65536.0,0,1138.33,2122.24,17.64,2280.0
10,8.491095,,,6.000000e-06,5.8801,2509.7,62.0,1138.9,36.0,65536.0,0,1123.56,2106.34,17.62,2280.0
20,8.052706,,,1.200000e-05,2.4419,2510.1,62.0,1138.9,68.7,65536.0,0,1121.44,2108.07,17.58,2280.0
30,7.941465,,,1.800000e-05,2.0614,2485.0,61.0,1138.9,101.4,65536.0,0,1130.81,2127.76,17.45,2280.0
40,7.811237,,,2.400000e-05,1.7684,2517.5,61.0,1138.9,134.1,65536.0,0,1121.30,2099.04,17.68,2280.0
50,7.548438,,,3.000000e-05,1.7923,2512.0,61.0,1138.9,166.7,65536.0,0,1123.76,2102.87,17.64,2280.0
60,7.325327,,,3.600000e-05,1.6131,2516.4,61.0,1138.9,199.4,65536.0,0,1121.04,2100.11,17.68,2280.0
70,7.202312,,,4.200000e-05,1.5823,2514.0,61.0,1138.9,232.0,65536.0,0,1123.70,2099.22,17.65,2280.0
80,7.054169,,,4.800000e-05,1.4008,2518.1,61.0,1138.9,264.6,65536.0,0,1118.78,2099.89,17.68,2280.0
90,6.894168,,,5.400000e-05,1.3020,2516.7,61.0,1138.9,297.3,65536.0,0,1122.05,2098.00,17.63,2280.0
100,6.762722,,,6.000000e-05,0.9677,2517.8,61.0,1138.9,329.9,65536.0,0,1118.55,2102.33,17.82,2280.0
110,6.469943,,,6.600000e-05,1.3915,2511.7,61.0,1138.9,362.5,65536.0,0,1117.86,2106.82,17.59,2280.0
120,6.445878,,,7.200000e-05,1.0602,2514.7,61.0,1138.9,395.2,65536.0,0,1122.54,2100.81,17.56,2280.0
130,6.371763,,,7.800000e-05,1.1741,2511.8,61.0,1138.9,427.8,65536.0,0,1121.91,2102.48,17.57,2280.0
140,6.341424,,,8.400001e-05,1.2582,2514.9,61.0,1138.9,460.5,65536.0,0,1120.04,2102.43,17.68,2280.0
150,6.308390,,,9.000000e-05,1.0888,2515.5,61.0,1138.9,493.1,65536.0,0,1120.24,2100.26,17.63,2280.0
160,6.192358,,,9.600000e-05,1.0994,2511.9,61.0,1138.9,525.7,65536.0,0,1120.25,2104.17,17.52,2280.0
170,6.145009,,,1.020000e-04,1.1707,2515.0,61.0,1138.9,558.4,65536.0,0,1123.58,2098.99,17.70,2280.0
180,6.001698,,,1.080000e-04,1.0435,2517.3,61.0,1138.9,591.0,65536.0,0,1118.75,2100.94,17.73,2280.0
190,6.019279,,,1.140000e-04,0.9982,2518.2,61.0,1138.9,623.6,65536.0,0,1119.52,2101.98,17.76,2280.0
