step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0512,1869.7,61.0,1126.9,4.4,65536.0,0,1166.53,3183.18,17.48,2280.0
10,8.491112,,,6.000000e-06,5.8800,1873.7,61.0,1126.9,48.2,65536.0,0,1161.08,3179.61,17.39,2280.0
20,8.052705,,,1.200000e-05,2.4420,1874.9,61.0,1126.9,92.0,65536.0,0,1161.30,3177.77,17.44,2280.0
30,7.941469,,,1.800000e-05,2.0615,1875.9,61.0,1126.9,135.8,65536.0,0,1159.59,3176.88,17.44,2280.0
40,7.811246,,,2.400000e-05,1.7685,1872.0,61.0,1126.9,179.6,65536.0,0,1160.39,3185.01,17.33,2280.0
50,7.548434,,,3.000000e-05,1.7922,1875.3,61.0,1126.9,223.4,65536.0,0,1161.41,3176.32,17.53,2280.0
60,7.325317,,,3.600000e-05,1.6128,1875.2,61.0,1126.9,267.2,65536.0,0,1161.42,3176.58,17.60,2280.0
70,7.202305,,,4.200000e-05,1.5822,1870.7,61.0,1126.9,311.0,65536.0,0,1163.37,3184.88,17.48,2280.0
80,7.054164,,,4.800000e-05,1.4008,1873.5,61.0,1126.9,354.8,65536.0,0,1161.04,3180.57,17.48,2280.0
90,6.894163,,,5.400000e-05,1.3021,1873.9,61.0,1126.9,398.6,65536.0,0,1166.44,3174.17,17.47,2280.0
100,6.762715,,,6.000000e-05,0.9678,1874.6,61.0,1126.9,442.4,65536.0,0,1159.24,3181.70,17.52,2280.0
110,6.469957,,,6.600000e-05,1.3920,1874.1,61.0,1126.9,486.2,65536.0,0,1159.96,3180.09,17.56,2280.0
120,6.445884,,,7.200000e-05,1.0603,1875.5,61.0,1126.9,530.0,65536.0,0,1159.78,3177.24,17.46,2280.0
130,6.371753,,,7.800000e-05,1.1737,1870.7,61.0,1126.9,573.9,65536.0,0,1162.43,3185.91,17.43,2280.0
140,6.341423,,,8.400001e-05,1.2576,1874.0,61.0,1126.9,617.7,65536.0,0,1160.15,3180.68,17.50,2280.0
150,6.308400,,,9.000000e-05,1.0891,1872.2,61.0,1126.9,661.5,65536.0,0,1160.34,3183.45,17.47,2280.0
160,6.192331,,,9.600000e-05,1.0986,1874.2,61.0,1126.9,705.3,65536.0,0,1163.03,3176.99,17.39,2280.0
170,6.145012,,,1.020000e-04,1.1711,1873.5,61.0,1126.9,749.1,65536.0,0,1163.97,3177.31,17.46,2280.0
180,6.001716,,,1.080000e-04,1.0443,1872.5,62.0,1126.9,792.9,65536.0,0,1160.62,3183.06,17.45,2280.0
190,6.019270,,,1.140000e-04,0.9979,1875.3,61.0,1126.9,836.7,65536.0,0,1162.07,3177.84,17.58,2280.0
