step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0513,2100.7,61.0,1139.5,3.9,65536.0,0,1183.75,2684.78,17.53,2280.0
10,8.491113,,,6.000000e-06,5.8800,2124.4,61.0,1139.5,42.6,65536.0,0,1165.25,2660.16,17.48,2280.0
20,8.052705,,,1.200000e-05,2.4420,2125.8,61.0,1139.5,81.2,65536.0,0,1168.46,2653.68,17.47,2280.0
30,7.941469,,,1.800000e-05,2.0615,2123.4,62.0,1139.5,119.9,65536.0,0,1166.88,2659.96,17.61,2280.0
40,7.811246,,,2.400000e-05,1.7685,2122.8,62.0,1139.5,158.5,65536.0,0,1166.97,2660.83,17.59,2280.0
50,7.548436,,,3.000000e-05,1.7922,2123.9,62.0,1139.5,197.2,65536.0,0,1166.06,2658.94,17.72,2280.0
60,7.325317,,,3.600000e-05,1.6128,2126.3,62.0,1139.5,235.8,65536.0,0,1166.91,2655.30,17.55,2280.0
70,7.202305,,,4.200000e-05,1.5822,2125.4,62.0,1139.5,274.4,65536.0,0,1166.74,2656.71,17.56,2280.0
80,7.054165,,,4.800000e-05,1.4008,2122.8,62.0,1139.5,313.0,65536.0,0,1171.00,2656.13,17.51,2280.0
90,6.894163,,,5.400000e-05,1.3021,2127.3,62.0,1139.5,351.6,65536.0,0,1165.65,2653.92,17.51,2280.0
100,6.762715,,,6.000000e-05,0.9679,2127.0,62.0,1139.5,390.3,65536.0,0,1165.87,2657.61,17.69,2280.0
110,6.469954,,,6.600000e-05,1.3918,2122.2,62.0,1139.5,428.9,65536.0,0,1167.45,2660.83,17.65,2280.0
120,6.445879,,,7.200000e-05,1.0601,2124.9,62.0,1139.5,467.5,65536.0,0,1165.78,2657.90,17.75,2280.0
130,6.371759,,,7.800000e-05,1.1738,2125.8,62.0,1139.5,506.2,65536.0,0,1165.67,2656.99,17.57,2280.0
140,6.341422,,,8.400001e-05,1.2580,2124.3,62.0,1139.5,544.8,65536.0,0,1166.35,2658.78,17.51,2280.0
150,6.308382,,,9.000000e-05,1.0888,2121.4,62.0,1139.5,583.5,65536.0,0,1165.29,2665.31,17.57,2280.0
160,6.192338,,,9.600000e-05,1.0990,2124.4,62.0,1139.5,622.1,65536.0,0,1168.91,2656.28,17.51,2280.0
170,6.145013,,,1.020000e-04,1.1712,2123.5,62.0,1139.5,660.8,65536.0,0,1168.25,2658.74,17.50,2280.0
180,6.001709,,,1.080000e-04,1.0439,2122.8,62.0,1139.5,699.5,65536.0,0,1166.72,2661.58,17.54,2280.0
190,6.019278,,,1.140000e-04,0.9986,2124.6,62.0,1139.5,738.1,65536.0,0,1167.64,2660.25,17.62,2280.0
