step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150646,,,0.000000e+00,11.0512,1918.5,61.0,1126.9,4.3,65536.0,0,1111.38,3124.83,17.62,2280.0
10,8.491095,,,6.000000e-06,5.8801,1922.9,62.0,1126.9,47.0,65536.0,0,1112.52,3112.15,17.42,2280.0
20,8.052706,,,1.200000e-05,2.4419,1927.0,62.0,1126.9,89.6,65536.0,0,1109.40,3106.60,17.52,2280.0
30,7.941465,,,1.800000e-05,2.0613,1926.5,62.0,1126.9,132.2,65536.0,0,1110.91,3106.84,17.62,2280.0
40,7.811240,,,2.400000e-05,1.7684,1926.1,62.0,1126.9,174.9,65536.0,0,1109.11,3109.02,17.46,2280.0
50,7.548443,,,3.000000e-05,1.7922,1926.4,62.0,1126.9,217.4,65536.0,0,1108.87,3108.66,17.56,2280.0
60,7.325332,,,3.600000e-05,1.6131,1924.8,62.0,1126.9,260.0,65536.0,0,1107.97,3112.78,17.55,2280.0
70,7.202311,,,4.200000e-05,1.5822,1926.7,62.0,1126.9,302.6,65536.0,0,1109.49,3107.36,17.46,2280.0
80,7.054166,,,4.800000e-05,1.4004,1926.5,62.0,1126.9,345.2,65536.0,0,1110.39,3106.40,17.47,2280.0
90,6.894181,,,5.400000e-05,1.3025,1927.7,62.0,1126.9,387.8,65536.0,0,1106.62,3107.69,17.56,2280.0
100,6.762742,,,6.000000e-05,0.9681,1927.4,62.0,1126.9,430.4,65536.0,0,1108.83,3109.23,17.53,2280.0
110,6.469964,,,6.600000e-05,1.3922,1925.2,62.0,1126.9,473.1,65536.0,0,1111.42,3108.65,17.47,2280.0
120,6.445896,,,7.200000e-05,1.0603,1923.2,62.0,1126.9,515.7,65536.0,0,1109.32,3115.49,17.53,2280.0
130,6.371789,,,7.800000e-05,1.1741,1925.5,62.0,1126.9,558.4,65536.0,0,1113.93,3105.89,17.50,2280.0
140,6.341419,,,8.400001e-05,1.2589,1924.5,62.0,1126.9,601.0,65536.0,0,1109.25,3112.30,17.39,2280.0
150,6.308335,,,9.000000e-05,1.0884,1926.7,62.0,1126.9,643.6,65536.0,0,1109.12,3107.44,17.51,2280.0
160,6.192356,,,9.600000e-05,1.0989,1925.4,62.0,1126.9,686.3,65536.0,0,1109.17,3110.41,17.57,2280.0
170,6.144999,,,1.020000e-04,1.1715,1925.8,62.0,1126.9,728.9,65536.0,0,1110.94,3108.02,17.53,2280.0
180,6.001692,,,1.080000e-04,1.0435,1921.8,62.0,1126.9,771.8,65536.0,0,1109.95,3118.58,17.54,2280.0
190,6.019279,,,1.140000e-04,0.9991,1926.2,62.0,1126.9,814.4,65536.0,0,1112.80,3108.95,17.52,2280.0
