step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150646,,,0.000000e+00,11.0512,2172.8,61.0,1139.5,3.8,65536.0,0,1118.40,2618.20,17.49,2280.0
10,8.491095,,,6.000000e-06,5.8801,2178.9,62.0,1139.5,41.5,65536.0,0,1115.03,2610.59,17.55,2280.0
20,8.052705,,,1.200000e-05,2.4419,2182.7,62.0,1139.5,79.1,65536.0,0,1109.99,2608.69,17.54,2280.0
30,7.941466,,,1.800000e-05,2.0614,2183.7,62.0,1139.5,116.7,65536.0,0,1111.21,2606.00,17.54,2280.0
40,7.811237,,,2.400000e-05,1.7684,2182.0,62.0,1139.5,154.3,65536.0,0,1112.12,2604.74,17.43,2280.0
50,7.548445,,,3.000000e-05,1.7923,2182.7,62.0,1139.5,191.9,65536.0,0,1112.47,2605.89,17.49,2280.0
60,7.325327,,,3.600000e-05,1.6131,2181.2,62.0,1139.5,229.6,65536.0,0,1114.04,2607.22,17.50,2280.0
70,7.202312,,,4.200000e-05,1.5823,2180.6,62.0,1139.5,267.2,65536.0,0,1113.76,2606.02,17.36,2280.0
80,7.054168,,,4.800000e-05,1.4006,2179.2,62.0,1139.5,304.9,65536.0,0,1114.06,2610.80,17.43,2280.0
90,6.894168,,,5.400000e-05,1.3018,2182.8,62.0,1139.5,342.5,65536.0,0,1110.65,2608.07,17.77,2280.0
100,6.762726,,,6.000000e-05,0.9679,2182.5,62.0,1139.5,380.1,65536.0,0,1113.82,2605.00,17.60,2280.0
110,6.469952,,,6.600000e-05,1.3920,2184.1,62.0,1139.5,417.7,65536.0,0,1110.24,2604.75,17.64,2280.0
120,6.445884,,,7.200000e-05,1.0603,2180.6,62.0,1139.5,455.3,65536.0,0,1113.18,2608.41,17.49,2280.0
130,6.371774,,,7.800000e-05,1.1742,2181.9,62.0,1139.5,492.9,65536.0,0,1109.86,2608.92,17.62,2280.0
140,6.341431,,,8.400001e-05,1.2585,2178.7,62.0,1139.5,530.6,65536.0,0,1111.00,2612.30,17.61,2280.0
150,6.308382,,,9.000000e-05,1.0887,2182.6,62.0,1139.5,568.2,65536.0,0,1112.66,2605.61,17.47,2280.0
160,6.192361,,,9.600000e-05,1.0993,2182.2,62.0,1139.5,605.8,65536.0,0,1112.43,2606.99,17.55,2280.0
170,6.145012,,,1.020000e-04,1.1710,2180.5,62.0,1139.5,643.4,65536.0,0,1111.02,2610.83,17.49,2280.0
180,6.001688,,,1.080000e-04,1.0432,2180.7,62.0,1139.5,681.0,65536.0,0,1111.82,2609.37,17.60,2280.0
190,6.019279,,,1.140000e-04,0.9982,2182.0,62.0,1139.5,718.6,65536.0,0,1113.18,2608.79,17.48,2280.0
